Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
2,85	207	141	266	230	174	91	276	43
2,87	207	141	266	230	174	91	276	43
2,88	207	141	266	230	174	91	276	43
2,90	207	141	266	230	176	91	276	43
2,91	207	141	266	230	176	91	276	43
2,93	207	141	266	233	176	91	276	43
2,94	207	141	266	233	176	101	276	88
2,96	207	141	266	233	176	101	277	88
2,97	207	141	266	233	176	101	277	88
2,99	207	141	266	233	176	101	277	88
3,00	207	141	266	233	176	101	277	88
3,01	207	141	266	233	176	101	277	88
3,03	207	141	266	233	176	101	277	88
3,04	207	141	266	233	176	101	277	88
3,06	207	141	266	233	176	101	277	105
3,07	207	141	266	233	176	101	278	105
3,09	207	141	266	233	176	101	278	105
3,10	207	141	266	233	176	101	278	105
3,12	207	141	266	233	176	101	278	105
3,13	207	141	266	233	176	101	278	105
3,15	207	141	266	233	176	101	278	105
3,16	207	141	266	233	176	101	278	105
3,18	207	141	266	233	176	101	278	105
3,19	207	141	266	233	176	101	278	105
3,21	207	141	266	233	176	101	278	105
3,22	207	141	266	233	176	101	278	105
3,24	207	141	266	233	176	101	278	105
3,25	207	141	266	233	176	101	278	105
3,26	207	141	266	233	176	101	278	105
3,28	207	141	266	232	176	101	277	105
3,29	207	141	266	232	176	101	277	105
3,31	207	141	266	232	176	101	277	105
3,32	207	141	266	232	176	101	277	105
3,34	207	141	266	232	176	101	277	105
3,35	207	141	266	232	176	101	277	105
3,37	207	141	266	232	176	101	277	105
3,38	207	141	266	232	176	101	277	105
3,40	207	141	266	232	176	101	277	105
3,41	207	141	266	233	176	101	277	105
3,43	207	141	266	233	176	101	277	105
3,44	207	141	266	233	176	101	277	105
3,46	207	141	266	233	176	101	277	105
3,47	207	141	266	233	176	101	277	105
3,49	207	141	266	233	176	101	277	105
3,50	207	141	266	233	176	101	277	105
3,51	207	141	266	233	176	101	277	105
3,53	207	141	266	233	176	101	277	105
3,54	207	141	266	233	176	101	277	105
3,56	207	141	266	233	176	101	277	105
3,57	207	141	266	233	176	101	277	105
3,59	207	141	266	233	176	101	278	105
3,60	207	141	266	233	176	101	278	105
3,62	207	141	266	233	176	101	278	105
3,63	207	141	266	233	176	101	278	105
3,65	207	141	266	232	176	101	278	105
3,66	207	141	266	232	176	101	278	105
3,68	207	141	266	232	176	101	278	105
3,69	207	141	266	232	176	101	277	105
3,71	207	141	266	232	176	101	277	105
3,72	207	141	266	232	176	101	277	105
3,74	207	141	266	232	176	101	277	105
3,75	207	141	266	232	176	101	277	105
3,76	207	141	266	232	176	101	277	105
3,78	207	141	266	232	176	101	277	105
3,79	207	141	266	232	176	101	278	105
3,81	207	141	266	232	176	101	278	105
3,82	207	141	266	232	176	101	278	105
3,84	207	141	266	232	176	101	278	105
3,85	207	141	266	232	176	101	278	105
3,87	207	141	266	232	176	101	278	105
3,88	207	141	266	233	176	101	278	105
3,90	207	141	266	233	176	101	278	105
3,91	207	141	266	233	176	101	278	105
3,93	207	141	266	233	176	101	278	105
3,94	207	141	266	233	176	101	278	105
3,96	207	141	266	233	176	101	278	105
3,97	207	141	266	233	176	101	278	105
3,99	207	141	266	233	176	101	278	105
4,00	207	141	266	233	176	101	278	105
4,01	207	141	266	233	176	101	278	105
4,03	207	141	266	233	176	101	278	105
4,04	207	141	266	233	176	101	278	105
4,06	207	141	266	233	176	101	278	104
4,07	207	141	266	233	176	101	278	104
4,09	207	141	266	233	176	101	278	104
4,10	207	141	266	233	176	101	278	104
4,12	207	141	266	233	176	101	277	104
4,13	207	141	266	233	176	101	277	104
4,15	207	141	266	233	176	101	277	104
4,16	207	141	266	233	176	101	277	104
4,18	207	141	266	233	176	101	277	104
4,19	207	141	266	233	176	101	277	71
4,21	207	141	266	233	176	101	277	71
4,22	207	141	266	233	176	101	273	71
